query,video_id,published_at,channel_id,title,description,channel_title,video_url,election_panel
le pen,X-mwi18j7_8,2022-04-15T18:41:18Z,UCCCPCZNChQdGa9EkATeye4g,Présidentielle 2022 : Macron et Le Pen s&#39;opposent sur la question du voile • FRANCE 24,J-9 avant le 1er tour. Les deux finalistes du second tour jouent sur la diabolisation de l'adversaire pour convaincre les ...,FRANCE 24,https://www.youtube.com/watch?v=X-mwi18j7_8,True
le pen,gEhO8ajVIlc,2022-04-15T17:36:24Z,UCoMdktPbSTixAyNGwb-UYkQ,French election: Macron vs Le Pen - The rematch,Emmanuel Macron and Marine Le Pen will fight it out in the second round of the French presidential election. The pair first faced ...,Sky News,https://www.youtube.com/watch?v=gEhO8ajVIlc,True
le pen,BoR_v7yJzlM,2022-04-15T17:16:05Z,UCejTWYquMXD_MFHRZiqo_Aw,"Marine Le Pen : un voile sur la campagne, avec Jordan Bardella - C à vous - 15/04/2022",C à vous https://bit.ly/CaVousReplay C à vous la suite https://bit.ly/ReplayCaVousLaSuite — Abonnez-vous à la chaîne ...,C à vous,https://www.youtube.com/watch?v=BoR_v7yJzlM,True
le pen,7HHA5pNZngE,2022-04-15T16:17:20Z,UCdnaDhU-LDQrIEEmSIfq0-Q,Ce que serait la France sous Marine Le Pen,"Cette première semaine d'entre-deux-tours, « À l'air libre » a consacré plusieurs émissions à révéler les fondamentaux du ...",Mediapart,https://www.youtube.com/watch?v=7HHA5pNZngE,True
le pen,aS2n52NgNfE,2022-04-15T15:29:29Z,UCewhc0fvja891XkpIPGRMxQ,Marine Le Pen interpellée sur le port du voile,"Marine Le Pen s'est déplacée ce vendredi à Pertuis, dans le Vaucluse, à neuf jours du second tour de l'élection présidentielle.",LCI,https://www.youtube.com/watch?v=aS2n52NgNfE,True
le pen,58ZsK_DykYE,2022-04-15T14:16:45Z,UCp2kK3DyhpgFOdILF3BBC9A,Macron - Le Pen : quatre indicateurs qui vont faire le second tour,"S'il ne fallait en garder que quatre, parmi les centaines de statistiques, enquêtes d'opinion et projections politiques nécessaires ...",L'Express,https://www.youtube.com/watch?v=58ZsK_DykYE,True
le pen,ZF5OF8FmgZQ,2022-04-15T13:48:24Z,UCCCPCZNChQdGa9EkATeye4g,"&quot;Ni Macron, ni Le Pen&quot; : la colère des étudiants • FRANCE 24",La Sorbonne a été occupée par des étudiants pendant 30 heures. Ces derniers souhaitaient faire entendre leur mécontentement ...,FRANCE 24,https://www.youtube.com/watch?v=ZF5OF8FmgZQ,True
le pen,hxk-4L2q4S8,2022-04-15T12:00:09Z,UCj8BKFCTH-mqRlYwcmX2xwg,QG de campagne avec Marine LE PEN spécial 2nd tour.,Production Délégué - Locomotiv production Producteur Délégué - Guillaume Pley Production exécutive - SUTORI productions ...,Guillaume Pley,https://www.youtube.com/watch?v=hxk-4L2q4S8,True
le pen,HueBZxRlzbY,2022-04-15T11:32:12Z,UCewhc0fvja891XkpIPGRMxQ,Marine Le Pen : &quot;Le système (de Macron) cherche à se défendre&quot;,LCI EN DIRECT : https://www.tf1info.fr/direct/ L'actualité TF1 et LCI en continu avec TF1 INFO : https://www.tf1info.fr/,LCI,https://www.youtube.com/watch?v=HueBZxRlzbY,True
le pen,z5j9o86qKg0,2022-04-15T10:41:13Z,UC2i-BljAg1w_MMMA1JuFm7w,Visite surprise de Marine Le Pen au marché de Pertuis,Marine Le Pen était sur le marché de Pertuis il y a quelques minutes. Après son meeting à Avignon la candidate de l'extrême ...,La Provence,https://www.youtube.com/watch?v=z5j9o86qKg0,True
le pen,vsvWTPSDTYg,2022-04-15T10:30:09Z,UCXQW_V8roJ1UBcJq-fNP1eQ,"Il vote Macron, elle vote Le Pen, mais ils s&#39;aiment ! - Broute - CANAL+","L'amour plus fort que la politique ? Tous les épisodes de Broute sur CANAL+ : https://can.al/Broute_ BROUTE, c'est chaque jeudi ...",Yes vous aime,https://www.youtube.com/watch?v=vsvWTPSDTYg,False
le pen,DhOhZKg_39E,2022-04-15T10:12:42Z,UCNye-wNBqNL5ZzHSJj3l8Bg,"French election: Macron, Le Pen rally at opposite ends of France",Campaigning is under way in France for the presidential runoff later this month. The two remaining contenders - incumbent ...,Al Jazeera English,https://www.youtube.com/watch?v=DhOhZKg_39E,True
le pen,9HZylDRkqsc,2022-04-15T09:30:23Z,UCewhc0fvja891XkpIPGRMxQ,M. Le Pen &quot;le second tour met face-à-face le bloc populaire contre le bloc élitaire&quot;,"Marine Le Pen, lors de son meeting à Avignon, a insisté sur le fait que le second tour met face à face un bloc populaire (le sien) et ...",LCI,https://www.youtube.com/watch?v=9HZylDRkqsc,True
le pen,PmSGhPW5Ft4,2022-04-15T09:12:22Z,UCewhc0fvja891XkpIPGRMxQ,Marine Le Pen : son meeting de l&#39;entre-deux-tours en Avignon en Replay,LCI EN DIRECT : https://www.tf1info.fr/direct/ L'actualité TF1 et LCI en continu avec TF1 INFO : https://www.tf1info.fr/,LCI,https://www.youtube.com/watch?v=PmSGhPW5Ft4,True
le pen,oMLlsVSGw30,2022-04-15T08:14:39Z,UC9GGzAhhvhJO1hL10-BcgNA,Pourquoi ces électeurs de Le Pen ne veulent ni de Zemmour ni de Marion Maréchal au gouvernement,"PRÉSIDENTIELLE 2022 - C'est un gouvernement “d'unité nationale” qui part déjà désuni. Ce jeudi 14 avril, au meeting d'Avignon ...",LeHuffPost,https://www.youtube.com/watch?v=oMLlsVSGw30,True
le pen,dA84trEO69U,2022-04-15T07:42:07Z,UCXwDLMDV86ldKoFVc_g8P0g,Présidentielle: l&#39;interview intégrale de Marine Le Pen sur BFMTV-RMC à 9 jours du second tour,"À neuf jours du second tour de l'élection présidentielle, Marine Le Pen était l'invitée de ""Une heure pour l'Élysée"" sur ...",BFMTV,https://www.youtube.com/watch?v=dA84trEO69U,True
le pen,Jpb1-n2K3fw,2022-04-15T07:33:35Z,UCgGb7tN3tIH5_Kk05D1J_bA,Le Pen : &quot;Autant passer par des incitations plutôt qu&#39;en permanence sortir le bâton&quot;,"RMC, la radio Info Talk Sport. Depuis deux décennies, c'est neuf heures d'information du lundi au vendredi, pour débattre et ...",RMC,https://www.youtube.com/watch?v=Jpb1-n2K3fw,True
le pen,re_xvBJDbaY,2022-04-15T07:33:02Z,UCgGb7tN3tIH5_Kk05D1J_bA,🔴 EN DIRECT - Marine Le Pen invitée de &quot;Une heure pour l&#39;Elysée&quot; sur RMC,"EN DIRECT - La candidate du Rassemblement national Marine Le Pen répond aux questions d'Apolline de Malherbe dans ""Une ...",RMC,https://www.youtube.com/watch?v=re_xvBJDbaY,True
le pen,pI1i2eIMMvc,2022-04-15T07:21:45Z,UCgGb7tN3tIH5_Kk05D1J_bA,"Le Pen : &quot;Si les Français répondent &#39;Non&#39; à mon referendum, je resterez présidente&quot;","RMC, la radio Info Talk Sport. Depuis deux décennies, c'est neuf heures d'information du lundi au vendredi, pour débattre et ...",RMC,https://www.youtube.com/watch?v=pI1i2eIMMvc,True
le pen,TKpc15GluWM,2022-04-15T07:20:32Z,UCgGb7tN3tIH5_Kk05D1J_bA,Le Pen : &quot;Je ne comprends pas pourquoi les artistes se lèvent contre mon projet&quot;,"RMC, la radio Info Talk Sport. Depuis deux décennies, c'est neuf heures d'information du lundi au vendredi, pour débattre et ...",RMC,https://www.youtube.com/watch?v=TKpc15GluWM,False
le pen,higGyoTuMn4,2022-04-15T06:39:42Z,UCgGb7tN3tIH5_Kk05D1J_bA,"Le Pen : &quot;Ce n&#39;est pas un gouvernement du peuple, par le peuple et pour le peuple&quot;","RMC, la radio Info Talk Sport. Depuis deux décennies, c'est neuf heures d'information du lundi au vendredi, pour débattre et ...",RMC,https://www.youtube.com/watch?v=higGyoTuMn4,False
le pen,tzlK9RiBGVA,2022-04-15T05:07:52Z,UCgGb7tN3tIH5_Kk05D1J_bA,Présidentielle : Marine Le Pen veut &quot;faire du 24 avril un printemps français&quot;,"En meeting à Avignon, Marine Le Pen appelle à faire barrage à Emmanuel Macron et espère voir émerger un ""printemps français"" ...",RMC,https://www.youtube.com/watch?v=tzlK9RiBGVA,True
le pen,C5WGCxJn7Bc,2022-04-14T22:03:31Z,UCIMGfEAERXjmWwQeg15BFsg,Présidentielle : que retenir du meeting de Marine Le Pen en Avignon,Présidentielle : que retenir du meeting de Marine Le Pen en Avignon ABONNEZ-VOUS pour plus de vidéos : http://bit.ly/radioE1 ...,Europe 1,https://www.youtube.com/watch?v=C5WGCxJn7Bc,True
