query,video_id,published_at,channel_id,title,description,channel_title,video_url,election_panel
macron,KtYu9rbdwy8,2022-04-15T19:50:33Z,UChqUTb7kYRX8-EiaN3XFrSQ,Macron visits Notre-Dame cathedral three years after devastating fire,"French President Emmanuel Macron praised the efforts to rebuild the Notre-Dame cathedral, three years after its roof was ...",Reuters,https://www.youtube.com/watch?v=KtYu9rbdwy8,False
macron,BBRluqP5ZE0,2022-04-15T18:58:11Z,UCQfwfsi5VrQ8yKZ-UWmAEFg,French presidential race: Macron clashes with Le Pen over Islamic veil ban • FRANCE 24 English,"On April 24, Marine Le Pen will seek to cause the greatest upset in modern French political history by defeating Emmanuel ...",FRANCE 24 English,https://www.youtube.com/watch?v=BBRluqP5ZE0,True
macron,0cpjPKfIpYw,2022-04-15T18:15:11Z,UCFTOzGqZcje45yv7SSTkBBQ,"Emmanuel Macron, le Candidat. | Épisode 7",Compte officiel de la campagne présidentielle d'Emmanuel Macron. ➡️ Abonnez-vous à notre chaîne pour retrouver chaque ...,Emmanuel Macron avec vous,https://www.youtube.com/watch?v=0cpjPKfIpYw,True
macron,gEhO8ajVIlc,2022-04-15T17:36:24Z,UCoMdktPbSTixAyNGwb-UYkQ,French election: Macron vs Le Pen - The rematch,Emmanuel Macron and Marine Le Pen will fight it out in the second round of the French presidential election. The pair first faced ...,Sky News,https://www.youtube.com/watch?v=gEhO8ajVIlc,True
macron,oMaN8K4KLSA,2022-04-15T17:16:57Z,UCXwDLMDV86ldKoFVc_g8P0g,Présidentielle: Emmanuel Macron face à la colère des Français durant la campagne d&#39;entre-deux-tours,"Emmanuel Macron, président sortant et finaliste LaREM pour la présidentielle, est régulièrement interpellé par les Français lors ...",BFMTV,https://www.youtube.com/watch?v=oMaN8K4KLSA,True
macron,oRmvHM_c748,2022-04-15T16:22:47Z,UCCCPCZNChQdGa9EkATeye4g,Trois ans depuis l&#39;incendie de Notre-Dame: Macron en visite sur le chantier • FRANCE 24,"Le vendredi saint, jour de la mort de Jésus, est aussi le jour des trois ans de l'incendie de Notre-Dame. Un symbole que les ...",FRANCE 24,https://www.youtube.com/watch?v=oRmvHM_c748,False
macron,fbOHEYhyNxs,2022-04-15T16:15:37Z,UCckz6n8QccTd6K_xdwKqa0A,"Trois après l&#39;incendie, Emmanuel Macron sur le chantier de Notre-Dame de Paris | AFP Images","A l'occasion du troisième anniversaire de l'incendie de Notre-Dame de Paris, le président français Emmanuel Macron, ...",AFP,https://www.youtube.com/watch?v=fbOHEYhyNxs,False
macron,xrr7nj71l6A,2022-04-15T16:07:53Z,UCQfwfsi5VrQ8yKZ-UWmAEFg,"Macron &#39;does not mind confrontation&#39; with anti-EU, anti-NATO voices: Analyst Jacques Rupnik","In this programme, we unpack the first round of France's presidential election, which left incumbent Emmanuel Macron and ...",FRANCE 24 English,https://www.youtube.com/watch?v=xrr7nj71l6A,True
macron,RXKVY_L_6no,2022-04-15T15:40:21Z,UCGXbLrVe8vnkiFv7q2vYv3w,DIRECTO PARÍS | Macron visitas las obras de reconstrucción de la Catedral de Notre Dame,Macron #Paris #NotreDame ¿Quieres más historias? Suscríbete a nuestro canal ▻ https://goo.gl/L2MPk1 Visita ElMundo: ...,El Mundo,https://www.youtube.com/watch?v=RXKVY_L_6no,False
macron,xM9ZjjEcMns,2022-04-15T15:32:03Z,UChqUTb7kYRX8-EiaN3XFrSQ,LIVE: France&#39;s Macron visits Notre Dame three years after fire,"Three years after a devastating fire destroyed parts of Paris's famous Notre-Dame cathedral, French President Emmanuel Macron ...",Reuters,https://www.youtube.com/watch?v=xM9ZjjEcMns,True
macron,bK5-ff5dLlQ,2022-04-15T15:00:36Z,UCMRJqoSRIaakAJUJK104Z8Q,Myriam Palomba appelle à voter contre Emmanuel Macron,"Tous les extraits et émissions de ""Touche pas à mon poste"" sont à retrouver sur MyCANAL ...",Touche pas à mon poste !,https://www.youtube.com/watch?v=bK5-ff5dLlQ,True
macron,5tBUB8YH64g,2022-04-15T14:17:23Z,UCLJ9WtC9PoiwvVzpzyTcrrA,EXCLU Patrimoine de Macron : Où sont passés les millions ?,Ce Mardi 11 h En EXCLU Le journaliste d'investigation Jean-Baptiste Rivoire qui a enquêté sur le patrimoine de Macron.,Gérard Infos,https://www.youtube.com/watch?v=5tBUB8YH64g,False
macron,ZF5OF8FmgZQ,2022-04-15T13:48:24Z,UCCCPCZNChQdGa9EkATeye4g,"&quot;Ni Macron, ni Le Pen&quot; : la colère des étudiants • FRANCE 24",La Sorbonne a été occupée par des étudiants pendant 30 heures. Ces derniers souhaitaient faire entendre leur mécontentement ...,FRANCE 24,https://www.youtube.com/watch?v=ZF5OF8FmgZQ,True
macron,TYB4RCQvqa8,2022-04-15T13:00:30Z,UCHQda5vLxrH0Ff0I0kMq4zw,&quot;Vous me conseillez l&#39;amour ou l&#39;argent M. Macron ?&quot;,"Emmanuel Macron répond à Lucie Carrasco sur la deconjugalisation de l'allocation aux adultes handicapés (AAH). En clair, si ...",Konbini,https://www.youtube.com/watch?v=TYB4RCQvqa8,True
macron,awZNuxmuMFA,2022-04-15T12:31:16Z,UCewhc0fvja891XkpIPGRMxQ,Macron malmené au contact des français,LCI EN DIRECT : https://www.tf1info.fr/direct/ L'actualité TF1 et LCI en continu avec TF1 INFO : https://www.tf1info.fr/,LCI,https://www.youtube.com/watch?v=awZNuxmuMFA,True
macron,C671bLWBpDE,2022-04-15T12:16:48Z,UCACdxU3VrJIJc7ujxtHWs1w,Macron oder Le Pen? 5 Fragen zur Entscheidungs-Wahl in Frankreich,Welche Wählerinnen und Wähler wollen Emmanuel Macron und Marine Le Pen vor der zweiten Runde überzeugen? LESEN SIE ...,euronews (deutsch),https://www.youtube.com/watch?v=C671bLWBpDE,True
